Ind_ID,GENDER,Car_Owner,Propert_Owner,CHILDREN,Annual_income,Type_Income,EDUCATION,Marital_status,Housing_type,Birthday_count,Employed_days,Mobile_phone,Work_Phone,Phone,EMAIL_ID,Type_Occupation,Family_Members
5008827,1,1,1,0,180000,0,4,2,3,-18772,365243,1,0,0,0,,2
5009744,0,1,0,0,315000,1,4,2,3,-13557,-586,1,1,1,0,,2
5009746,0,1,0,0,315000,1,4,2,3,,-586,1,1,1,0,,2
5009749,0,1,0,0,,1,4,2,3,-13557,-586,1,1,1,0,,2
5009752,0,1,0,0,315000,1,4,2,3,-13557,-586,1,1,1,0,,2
5009753,1,1,0,0,315000,0,4,2,3,-13557,-586,1,1,1,0,,2
5009754,0,1,0,0,315000,1,4,2,3,-13557,-586,1,1,1,0,,2
5009894,0,0,0,0,180000,0,2,2,3,-22134,365243,1,0,0,0,,2
5010864,1,1,1,1,450000,1,2,2,3,-18173,-678,1,0,1,1,1,3
5010868,1,1,1,1,450000,0,2,2,3,-18173,-678,1,0,1,1,1,3
5010869,1,1,1,1,450000,1,2,0,3,-18173,-678,1,0,1,1,1,1
5018498,0,1,1,0,90000,2,2,2,3,-18950,-1002,1,1,1,0,2,2
5018501,0,1,1,0,,2,2,2,3,-18950,-1002,1,1,1,0,2,2
5018503,0,1,1,0,90000,2,2,2,3,-18950,-1002,1,1,1,0,2,2
5021303,1,0,0,1,472500,0,4,2,-1,-8907,-913,1,0,0,1,,3
5021310,1,0,1,0,270000,2,2,2,3,-16896,-248,1,0,0,0,3,2
5021314,1,0,1,0,270000,2,2,0,3,-16896,-248,1,0,0,0,3,2
5021430,0,0,1,0,126000,1,4,0,3,-18907,-2470,1,0,0,0,4,1
5021431,0,0,1,0,126000,1,4,0,3,-18907,-2470,1,0,0,0,4,1
5021998,1,0,1,0,90000,0,2,2,3,-18863,-1644,1,0,0,1,,2
5022053,1,0,0,0,202500,2,4,0,3,-12811,-4327,1,0,0,0,,1
5022617,1,1,1,0,202500,1,2,2,3,-12022,-1674,1,0,0,1,3,2
5023781,1,0,1,0,157500,1,4,2,3,-17800,-1086,1,0,0,0,5,2
5023831,0,0,1,2,112500,1,2,2,3,-12135,-925,1,0,0,0,4,4
5024071,0,0,1,0,180000,2,4,2,3,-15976,-854,1,0,0,0,3,2
5024213,0,1,1,0,540000,1,4,2,3,-15702,-185,1,0,1,0,,2
5024916,0,0,1,0,112500,0,2,2,3,-21832,365243,1,0,1,0,,2
5024917,0,0,1,0,,0,2,2,3,-21832,365243,1,0,1,0,,2
5025127,,0,1,0,292500,2,2,2,3,-11111,-3350,1,0,0,0,6,2
5028580,1,0,0,0,540000,1,4,2,3,-19996,-691,1,0,0,0,7,2
5029028,0,0,1,0,90000,2,1,0,2,-12026,-4770,1,0,0,0,8,2
5029311,0,0,1,0,112500,0,2,2,3,-21876,365243,1,0,1,1,,2
5033453,0,0,0,0,135000,2,4,0,3,-10749,-2394,1,0,0,0,3,1
5033514,0,1,0,1,135000,2,2,2,3,-15952,-384,1,1,0,0,4,3
5033916,1,0,1,0,180000,2,2,2,3,-13015,-3647,1,0,0,0,,2
5036469,1,1,0,0,112500,3,2,0,3,-20333,-1546,1,0,0,0,9,2
5036590,1,1,1,0,292500,2,4,2,3,-21055,-808,1,0,0,0,9,2
5036660,0,1,1,0,76500,0,2,2,3,-23835,365243,1,0,0,0,,2
5036795,1,1,1,0,215100,1,2,2,3,-19175,-1285,1,0,1,0,3,2
5041522,1,1,1,0,450000,1,4,1,3,-16169,-855,1,1,1,0,,1
5042064,0,1,0,2,270000,3,4,2,3,-16053,-7369,1,1,1,0,,4
5045888,0,0,1,0,225000,0,2,0,3,-23286,365243,1,0,0,0,,1
5045894,0,0,1,0,225000,0,2,0,3,-23286,365243,1,0,0,0,,1
5045895,0,0,1,0,225000,0,2,0,3,-23286,365243,1,0,0,0,,1
5046324,0,0,1,1,157500,1,2,0,3,-15466,-2269,1,0,1,0,10,3
5046328,0,0,1,1,157500,0,2,0,3,-15466,-2269,1,0,1,0,10,3
5047662,0,0,1,1,67500,1,2,2,3,-18880,-4114,1,0,0,0,5,3
5048300,1,1,0,1,180000,1,2,2,3,-11091,-1161,1,0,0,0,3,3
5048301,1,1,0,1,180000,1,2,2,3,-11091,-1161,1,0,0,0,3,3
5050603,1,0,0,0,157500,2,2,2,3,-18327,-7288,1,1,0,0,3,2
5050606,1,0,0,0,157500,2,2,2,3,-18327,-7288,1,1,0,0,3,2
5050671,1,0,0,0,171000,1,3,0,3,-11610,-166,1,1,1,0,6,1
5051160,1,1,0,1,135000,2,2,2,3,-9594,-866,1,0,0,0,3,3
5051161,1,1,0,1,135000,2,2,2,3,-9594,-866,1,0,0,0,3,3
5052659,0,0,1,0,103500,2,2,2,3,-10396,-564,1,0,0,1,11,2
5052661,0,0,1,0,103500,2,2,2,3,-10396,-564,1,0,0,1,11,2
5052877,1,1,1,0,225000,2,2,2,3,-17915,-3366,1,0,0,0,9,2
5052879,1,1,1,0,225000,2,2,2,3,-17915,-3366,1,0,0,0,9,2
5052882,1,1,1,0,225000,2,2,2,3,-17915,-3366,1,0,0,0,9,2
5053254,0,1,1,0,180000,1,2,2,3,-18667,-2150,1,1,0,0,7,2
5054063,1,0,0,1,157500,2,2,2,3,-16424,-1458,1,0,0,0,9,3
5054068,1,0,0,1,157500,2,2,2,3,-16424,-1458,1,0,0,0,9,1
5054524,0,0,0,2,180000,2,2,2,3,-16611,-8369,1,0,0,0,,4
5054525,0,0,0,2,180000,2,2,0,3,-16611,-8369,1,0,0,0,,4
5058345,0,0,1,0,99000,0,4,1,3,-24611,365243,1,0,0,0,,1
5058348,0,0,1,0,,0,4,1,3,-24611,365243,1,0,0,0,,1
5058350,1,0,1,0,99000,0,4,1,3,-24611,365243,1,0,0,0,,1
5058352,0,0,1,0,99000,0,4,1,3,-24611,365243,1,0,0,0,,1
5058530,1,0,0,0,391500,2,2,0,1,-9242,-508,1,0,0,0,4,1
5058531,1,0,0,0,391500,2,2,0,1,-9242,-508,1,0,0,0,4,1
5058532,1,0,0,0,391500,2,2,0,1,,-508,1,0,0,0,4,1
5061360,1,0,1,0,65250,0,4,2,3,-20872,365243,1,0,0,0,,2
5061396,1,0,1,0,72900,0,1,2,3,-23423,365243,1,0,0,0,,2
5061636,0,0,1,0,225000,0,2,2,1,-21664,365243,1,0,1,0,,2
5061691,0,0,1,1,67500,1,4,2,3,-9122,-1567,1,0,0,1,12,3
5062136,1,0,0,1,180000,2,2,0,3,-12947,-137,1,0,0,0,3,2
5062137,1,0,1,1,,2,2,0,3,-12947,-137,1,0,0,0,3,2
5065348,0,1,1,0,202500,2,4,2,3,-15160,-3974,1,0,0,0,6,2
5065462,0,0,0,0,157500,1,2,2,3,-19004,-1570,1,0,0,0,,2
5065518,0,1,0,1,202500,2,4,2,2,-9510,-2878,1,0,0,0,3,3
5068389,0,1,1,1,270000,2,4,1,3,-14052,-140,1,0,1,0,4,2
5068456,0,1,0,0,135000,1,2,2,3,-13581,-2576,1,0,0,0,,2
5068651,,1,1,0,360000,3,4,1,3,-19305,-1905,1,0,0,0,1,1
5069216,0,1,1,0,256500,1,4,2,3,-11210,-1724,1,1,0,0,5,2
5069218,0,1,1,0,256500,1,4,0,3,-11210,-1724,1,1,0,0,5,2
5069307,1,0,1,0,157500,2,2,2,3,-15640,-1328,1,0,0,0,1,2
5078820,0,0,0,2,225000,1,2,2,3,-14476,-4987,1,0,0,0,6,4
5078945,0,0,1,2,180000,2,3,1,3,-12253,-3496,1,1,0,0,,3
5078946,0,0,1,2,180000,2,3,1,3,-12253,-3496,1,1,0,0,,3
5079166,1,1,0,0,202500,2,2,2,-1,-13720,-1394,1,0,0,0,3,2
5079167,1,1,0,0,202500,2,2,2,-1,-13720,-1394,1,0,0,0,3,2
5079168,1,1,0,0,202500,2,2,2,-1,-13720,-1394,1,0,0,0,3,2
5085886,1,1,1,0,315000,1,4,2,3,-18661,-1265,1,0,0,0,7,2
5089162,0,1,0,0,225000,2,4,2,3,-20264,-2531,1,1,1,0,5,2
5089959,1,0,1,1,126000,1,2,2,3,-12755,-2105,1,0,0,0,,3
5090166,0,0,1,1,675000,1,2,0,3,-15452,-860,1,0,0,0,13,2
5090214,1,1,1,0,135000,2,2,2,3,-10712,-217,1,0,0,0,3,2
5090216,1,1,1,0,135000,2,2,2,3,-10712,-217,1,0,0,0,3,2
5092087,1,1,1,2,247500,2,2,2,3,-17320,-535,1,0,0,0,3,4
5092245,0,0,0,0,103500,0,2,2,3,-22111,365243,1,0,0,0,,2
5092479,1,0,0,1,85500,3,2,2,1,-15014,-6866,1,0,0,0,1,3
5096527,0,0,0,0,135000,2,2,2,0,-20012,-584,1,0,0,0,1,1
5096528,0,0,0,0,135000,2,2,2,0,-20012,-584,1,0,0,0,1,1
5096743,0,0,1,0,180000,2,1,2,3,-16803,-2227,1,1,1,0,8,1
5097065,0,0,1,0,121500,2,2,2,3,-18971,-8161,1,0,0,0,7,2
5100430,1,1,0,0,180000,2,2,0,3,-16310,-613,1,0,0,0,3,1
5105045,1,0,1,0,225000,0,2,2,3,-22939,365243,1,0,0,0,,1
5105056,1,1,0,0,,1,4,0,1,-11528,-606,1,0,1,1,6,1
5106077,0,0,1,0,135000,1,2,2,3,-19764,-6944,1,0,0,0,14,2
5113621,1,0,0,0,225000,2,2,2,1,-19406,-346,1,0,0,0,13,1
5113933,0,0,0,0,67500,0,2,2,3,-23271,365243,1,0,1,0,,1
5113944,0,1,0,0,135000,0,2,2,3,-23324,365243,1,0,1,0,,2
5114249,1,0,0,1,130500,2,3,2,2,-11331,-1808,1,1,1,0,,3
5114253,1,0,0,1,130500,2,3,2,2,-11331,-1808,1,1,1,0,,3
5115604,0,0,1,0,202500,2,2,2,3,-14523,-3420,1,0,0,0,1,2
5115606,0,0,1,0,202500,2,2,2,3,-14523,-3420,1,0,0,0,1,2
5115608,0,0,1,0,202500,2,2,2,3,-14523,-3420,1,0,0,0,1,2
5115610,0,0,1,0,202500,2,2,2,3,-14523,-3420,1,0,0,0,1,2
5115611,0,0,1,0,202500,2,2,0,3,-14523,-3420,1,0,0,0,1,2
5116035,1,1,1,0,126000,2,4,0,3,-14522,-863,1,1,0,0,7,1
5116036,1,1,1,0,126000,2,4,0,3,-14522,-863,1,1,0,0,7,1
5116258,0,0,1,4,180000,1,2,2,3,-17468,-7413,1,0,0,0,1,6
5116301,0,0,1,0,180000,0,2,2,3,-22655,365243,1,0,0,0,,2
5116302,0,0,1,0,180000,0,2,2,3,-22655,365243,1,0,0,0,,2
5116304,0,0,1,0,180000,0,2,2,3,-22655,365243,1,0,0,0,,2
5116305,0,0,1,0,,0,2,2,3,-22655,365243,1,0,0,0,,2
5116906,1,1,1,0,211500,0,2,2,3,-15047,-7553,1,0,0,0,1,2
5117313,0,0,1,1,157500,1,2,2,3,-13022,-3931,1,1,1,0,3,3
5117413,0,0,0,0,81000,0,2,1,3,-22279,365243,1,0,1,0,,1
5118046,0,0,0,0,81000,0,2,2,3,-23902,365243,1,0,1,0,,1
5118275,0,0,0,0,112500,0,2,2,1,-21363,365243,1,0,0,0,,2
5118278,0,0,0,0,112500,0,2,2,1,-21363,365243,1,0,0,0,,2
5118279,0,0,0,0,112500,0,2,2,1,-21363,365243,1,0,0,0,,2
5118280,0,0,0,0,112500,0,2,0,1,-21363,365243,1,0,0,0,,2
5118283,1,0,0,0,112500,0,2,2,1,-21363,365243,1,0,0,0,,2
5118541,0,0,1,0,72000,2,2,2,3,-18132,-1039,1,0,1,0,3,2
5125289,0,0,0,1,202500,2,2,1,3,-13939,-134,1,0,0,0,3,2
5125299,0,0,1,0,148500,0,2,2,3,-20846,365243,1,0,0,0,,2
5125708,0,1,1,0,135000,2,1,2,3,-16413,-622,1,0,1,0,6,2
5125716,0,1,1,0,135000,2,1,2,3,-16413,-622,1,0,1,0,6,2
5125761,1,0,1,0,270000,1,2,0,1,-18020,-1595,1,0,0,0,2,1
5125763,1,1,0,1,135000,1,2,0,3,-13030,-1626,1,0,1,0,3,3
5125934,0,0,1,2,135000,1,1,2,-1,-9862,-1868,1,1,0,0,4,4
5126278,,0,0,0,162000,0,2,2,3,-21244,365243,1,0,0,0,,2
5135344,1,0,1,0,112500,1,4,2,3,-20103,-555,1,0,0,0,13,2
5135345,1,0,1,0,112500,1,4,2,3,-20103,-555,1,0,0,0,13,2
5135346,1,0,1,0,112500,1,4,2,3,-20103,-555,1,0,0,0,13,2
5135485,0,0,1,0,135000,3,4,0,1,-10660,-1935,1,0,0,0,1,1
5135487,0,0,1,0,135000,3,4,0,1,-10660,-1935,1,0,0,0,1,1
5135636,1,1,1,0,195750,2,2,2,3,-18836,-931,1,1,1,0,3,2
5135990,0,0,1,1,585000,1,4,0,3,-10430,-900,1,0,0,0,7,2
5135991,0,0,1,1,585000,1,4,0,3,-10430,-900,1,0,0,0,7,2
5142183,1,1,1,2,,1,4,2,3,-17841,-4305,1,1,1,0,7,4
5142184,1,1,1,2,450000,1,4,2,3,-17841,-4305,1,1,1,0,7,4
5142185,1,1,1,2,450000,1,4,2,3,-17841,-4305,1,1,1,0,7,4
5142361,1,1,1,1,112500,2,2,2,3,-16204,-925,1,1,1,0,9,3
5142362,1,1,1,1,112500,2,2,2,3,-16204,-925,1,1,1,0,9,3
5142456,0,0,0,0,67500,1,4,1,3,-18952,-499,1,0,1,0,1,1
5142458,0,0,1,0,67500,1,4,1,3,-18952,-499,1,0,1,0,1,1
5142459,0,0,1,0,67500,1,4,1,3,-18952,-499,1,0,1,0,1,1
5143342,1,0,0,1,216000,2,2,2,1,-12946,-2418,1,0,0,1,3,3
5145690,0,0,1,0,306000,0,4,2,3,-21590,365243,1,0,0,0,,2
5145817,0,0,1,0,90000,0,2,2,3,-22011,365243,1,0,0,0,,2
5146005,1,1,1,0,225000,2,2,0,3,-10177,-189,1,0,0,1,7,1
5146079,0,0,1,1,108000,2,2,2,3,-12723,-1132,1,1,1,0,4,3
5146167,0,0,1,0,135000,2,2,2,3,-20296,-1770,1,0,0,0,13,2
5146444,0,0,1,0,135000,2,2,2,3,-14394,-919,1,0,1,0,7,1
5148932,1,1,0,0,108000,2,2,2,2,-17209,-1081,1,0,0,0,13,2
5148934,1,1,0,0,108000,2,2,2,2,-17209,-1081,1,0,0,0,13,2
5149188,1,1,0,1,450000,2,4,2,3,-9847,-502,1,0,1,1,1,3
5149190,1,1,0,1,450000,2,4,2,3,-9847,-502,1,0,1,1,1,3
5149192,,1,0,1,450000,2,4,2,3,-9847,-502,1,0,1,1,1,3
5149828,1,1,1,0,315000,2,2,2,3,-17348,-2420,1,0,0,0,7,2
5149834,0,0,1,0,157500,1,4,2,3,-12387,-1325,1,0,1,1,14,2
5149838,0,0,1,0,157500,0,4,2,3,-12387,-1325,1,0,1,1,14,2
5118538,0,0,1,1,81000,2,2,2,1,-15749,-6367,1,1,1,0,8,3
5069057,1,1,0,0,225000,1,2,2,3,-17762,-2484,1,0,0,0,3,2
5066689,0,0,1,0,180000,1,4,2,3,-12946,-341,1,0,1,1,4,2
5086062,0,0,1,0,135000,3,2,2,3,-20542,-9422,1,0,1,0,1,2
5113717,0,0,0,1,135000,2,2,2,3,-16415,-3054,1,0,0,1,15,3
5066765,0,0,1,1,63000,1,2,2,3,-14550,-2987,1,0,0,0,4,3
5105227,0,0,1,0,135000,2,2,2,3,-17365,-2128,1,0,0,0,3,2
5054648,0,0,1,0,112500,0,2,0,3,-24238,365243,1,0,0,0,,1
5067187,0,0,1,0,112500,2,4,2,3,-11432,-820,1,1,0,0,1,2
5105818,0,0,1,0,45000,0,2,2,3,-22072,365243,1,0,1,0,,2
5033574,0,1,1,1,,2,2,2,3,-14222,-141,1,1,1,0,2,3
5125478,0,0,1,0,202500,0,2,2,3,-20661,365243,1,0,0,0,,2
5046340,1,0,1,1,180000,2,1,2,3,-10581,-1692,1,1,0,0,,3
5054058,,1,0,1,450000,2,4,2,3,-15045,-4686,1,0,1,0,7,3
5022326,1,1,1,0,256500,1,4,2,3,-21503,-1674,1,0,0,1,1,2
5065764,0,0,1,0,90000,2,2,0,3,-14746,-693,1,0,0,0,,1
5067849,0,0,1,0,180000,1,2,0,3,-14756,-567,1,0,0,0,,1
5097169,0,0,0,0,90000,1,2,0,3,-10731,-885,1,0,0,0,4,1
5048583,0,0,1,0,135000,0,2,2,3,-21579,365243,1,0,0,0,,2
5115566,1,0,1,0,126000,0,2,2,2,-16491,365243,1,0,0,0,,2
5052722,0,0,0,0,126000,0,2,2,3,-21875,365243,1,0,0,0,,2
5067723,0,0,1,1,337500,2,1,0,3,-12555,-2769,1,0,0,0,,2
5056077,1,1,1,0,90000,2,2,2,3,-12154,-1547,1,0,0,0,1,2
5022275,1,1,1,0,131400,0,2,2,3,-23646,365243,1,0,0,0,,2
5143016,1,0,0,0,180000,1,2,2,2,-14542,-3179,1,0,0,0,3,2
5066709,0,0,1,0,247500,0,2,2,3,-24511,365243,1,0,0,0,,1
5021445,0,0,1,0,121500,2,2,2,-1,-13315,-5204,1,1,1,0,1,2
5053592,0,0,1,1,117000,2,1,2,3,-17633,-3072,1,0,1,0,,2
5116163,0,0,1,2,90000,2,2,2,3,-9899,-320,1,0,0,0,13,4
5041273,1,0,1,0,445500,1,4,1,3,-19298,-2469,1,0,0,0,,1
5066627,1,1,1,0,157500,2,2,2,3,,-583,1,0,0,0,,2
5125399,1,1,0,0,112500,2,2,2,3,-10066,-834,1,0,0,0,3,2
5067345,0,1,0,0,180000,1,2,2,3,-16541,-1085,1,0,1,0,,2
5053711,0,1,0,2,157500,1,3,2,3,-12857,-1399,1,0,0,1,,4
5096234,0,0,0,0,117000,2,2,2,3,-17087,-7310,1,1,1,0,14,2
5125158,1,0,1,1,234000,2,2,2,3,-11970,-1748,1,0,0,0,3,3
5143231,0,1,1,1,1575000,1,4,0,3,-10142,-2479,1,0,0,0,7,2
5062688,1,1,1,0,247500,3,2,2,1,-20112,-875,1,1,0,1,6,2
5105685,0,0,1,2,144000,2,2,2,3,-14132,-2805,1,1,1,0,15,4
5115984,1,1,1,2,180000,2,4,2,3,-13174,-2477,1,0,0,0,7,4
5085769,0,0,1,0,,1,2,2,3,-19310,-1477,1,0,0,0,8,2
5065363,0,0,1,1,216000,2,4,0,3,-10512,-1782,1,0,1,0,1,2
5140074,0,0,1,0,90000,1,2,2,3,-15124,-431,1,0,0,0,1,2
5067643,0,0,1,0,171000,0,4,2,3,-19961,365243,1,0,0,0,,2
5091963,1,1,0,0,180000,2,2,2,1,-18809,-1416,1,1,0,0,9,2
5053637,0,0,0,0,225000,0,4,1,3,-21944,365243,1,0,0,0,,1
5067149,1,0,0,2,225000,2,3,2,3,-13969,-263,1,0,0,0,,4
5096424,1,1,0,0,270000,1,4,1,3,-11621,-2349,1,0,1,0,,1
5046283,0,0,1,0,67050,0,4,2,3,-24305,365243,1,0,0,0,,2
5029348,1,1,1,0,270000,2,4,2,3,-10942,-412,1,0,0,0,9,2
5096061,0,0,0,2,73350,2,2,2,3,-14321,-7068,1,0,0,0,14,4
5028917,0,1,1,0,112500,2,2,2,3,-17202,-1787,1,0,0,0,4,2
5117778,0,1,0,0,144000,2,2,2,3,-14407,-1345,1,0,0,0,16,1
5095310,0,1,1,0,225000,2,4,2,3,-12322,-3717,1,0,0,0,1,2
5050655,0,0,0,0,112500,2,2,2,3,-14667,-1048,1,1,1,0,5,2
5033817,0,1,0,1,292500,3,4,2,3,-16010,-2667,1,0,1,0,1,3
5052963,1,1,1,0,135000,1,2,2,3,-9984,-2606,1,0,0,0,3,2
5113159,1,1,1,0,157500,1,2,0,1,-9862,-2135,1,1,0,0,3,1
5143235,0,1,1,1,1575000,1,4,0,3,-10142,-2479,1,0,0,0,7,2
5132800,0,0,1,0,157500,2,2,1,3,-18540,-1534,1,0,0,0,4,1
5090549,0,0,1,0,157500,2,2,2,3,-15241,-2531,1,0,0,0,,2
5054522,0,1,1,1,135000,2,4,2,3,-10014,-2311,1,0,0,0,,3
5051061,0,0,0,2,112500,1,2,2,3,-11945,-1323,1,0,1,0,,4
5010707,1,1,0,0,202500,2,2,2,3,-15862,-5061,1,0,1,0,9,2
5028984,0,0,1,0,193500,2,2,1,3,-19063,-2213,1,1,1,1,3,1
5028615,,1,1,0,225000,1,4,0,-1,-10681,-2152,1,0,1,0,4,1
5126034,0,1,1,0,108000,2,2,1,3,-17171,-925,1,0,0,1,8,1
5090470,1,0,1,1,900000,2,2,2,3,-15380,-4509,1,0,0,0,3,3
5021775,0,0,1,0,292500,1,4,2,3,-14522,-1552,1,0,0,0,3,2
5046415,1,1,1,0,270000,2,4,2,3,-14466,-1569,1,0,1,0,,2
5065606,1,1,0,0,270000,0,4,2,3,-23489,365243,1,0,0,0,,2
5117314,1,0,1,1,292500,2,2,2,3,-16632,-1679,1,0,0,0,3,3
5009195,0,0,0,0,292500,3,2,2,3,-20953,-8684,1,1,1,0,5,2
5139548,0,1,1,2,157500,1,4,2,3,-13584,-6337,1,0,1,0,14,4
5096416,0,0,0,0,76500,2,2,2,3,-16876,-97,1,1,0,0,,2
5042286,0,0,1,0,157500,2,2,0,3,-10809,-1222,1,0,0,0,17,1
5050729,1,1,0,0,180000,2,2,0,-1,-8528,-531,1,0,0,0,,1
5038897,0,0,1,0,135000,0,2,2,3,-22886,365243,1,0,1,0,,2
5050973,0,0,0,1,112500,3,2,0,3,-15964,-7591,1,0,0,0,1,2
5044935,1,0,1,2,360000,3,4,2,3,-16027,-5639,1,0,1,0,7,4
5113539,0,0,1,0,157500,2,2,2,3,-20976,-1776,1,0,0,0,3,2
5085990,0,1,1,0,225000,0,2,2,3,-21717,365243,1,0,0,0,,2
5033452,0,0,0,0,112500,2,2,2,3,-19143,-5498,1,1,1,0,1,2
5051240,0,1,0,0,121500,0,2,0,3,-23328,365243,1,0,0,0,,1
5065335,1,0,1,0,202500,1,1,2,2,-9766,-1935,1,0,1,0,4,2
5145978,0,1,0,0,112500,3,2,2,3,-19538,-5880,1,0,0,0,17,1
5105614,0,1,1,2,135000,2,4,2,3,-12334,-460,1,0,0,0,5,4
5038845,0,0,1,0,103500,1,2,2,3,-17007,-1569,1,1,1,0,4,2
5105556,0,0,1,0,157500,2,2,2,3,-19802,-4532,1,0,0,0,3,2
5028383,1,1,0,0,337500,2,2,0,-1,-11344,-3309,1,0,0,0,1,1
5009980,0,1,1,0,180000,3,2,2,3,-20644,-3873,1,0,0,0,14,2
5062075,0,0,1,0,112500,0,2,2,3,-21392,365243,1,0,0,0,,2
5009706,0,0,0,0,157500,2,4,2,3,-11644,-344,1,0,0,0,7,2
5146463,1,1,0,0,360000,3,4,2,3,-9983,-1923,1,0,0,0,,2
5112662,0,0,0,1,135000,1,2,2,3,-12269,-604,1,0,0,0,7,3
5096796,1,1,1,0,337500,2,4,1,3,-13188,-584,1,0,0,0,3,1
5066843,0,0,1,0,135000,0,2,2,3,-17090,365243,1,0,0,0,,2
5066597,0,0,0,1,360000,1,4,2,3,-14805,-1922,1,0,0,0,4,3
5047704,0,0,1,2,,2,2,0,3,-14717,-1496,1,0,0,0,,3
5009074,0,1,1,1,450000,3,4,2,3,-17726,-708,1,0,1,1,1,3
5090954,0,0,0,0,270000,3,2,1,3,-19363,-12332,1,0,1,1,14,1
5143019,1,0,0,0,270000,2,2,2,-1,-11768,-622,1,1,1,0,3,2
5118617,0,0,0,0,270000,1,4,0,3,-15770,-5209,1,0,0,0,4,1
5116018,0,1,1,0,450000,0,4,2,3,-22083,365243,1,0,1,0,,1
5139662,0,0,1,0,157500,0,1,2,3,-23483,365243,1,0,0,0,,2
5042232,0,0,1,0,112500,1,2,0,3,-12849,-6273,1,1,0,0,4,1
5125317,1,1,0,0,292500,1,2,2,3,-20874,-2722,1,0,0,0,,2
5068038,0,0,0,0,112500,3,2,2,-1,-17164,-9363,1,0,0,0,14,2
5038814,0,0,1,0,247500,1,2,2,3,-19366,-746,1,0,0,0,,2
5095356,0,0,0,0,157500,2,2,0,-1,-9020,-1039,1,0,0,0,4,1
5037266,1,1,0,0,225000,2,2,0,3,-11892,-1322,1,0,0,0,9,1
5052865,0,0,1,0,94500,1,3,2,3,-13870,-3458,1,1,1,0,4,2
5096211,1,0,0,0,81000,2,2,2,3,-14211,-158,1,1,0,0,10,2
5023280,0,1,1,0,180000,1,2,2,3,-16701,-2457,1,0,0,0,4,2
5132340,0,0,1,2,198000,1,3,1,3,-15646,-2811,1,0,0,0,,3
5136012,0,0,0,3,180000,2,4,2,3,-13678,-7018,1,0,0,0,1,5
5045917,1,1,1,0,315000,1,2,2,2,-16990,-2026,1,0,0,0,9,2
5041073,0,0,1,0,67500,2,2,0,3,-18179,-188,1,0,0,0,3,2
5149660,0,0,1,1,180000,1,2,2,3,-11920,-2967,1,0,0,0,18,3
5022756,0,0,0,1,202500,1,2,1,3,-10800,-3166,1,0,0,0,4,2
5036562,0,0,0,1,112500,2,2,2,3,-11953,-5107,1,1,0,0,,3
5117754,1,1,0,0,306000,2,2,2,3,-16011,-1649,1,0,0,0,7,2
5125281,0,0,1,1,90000,2,2,2,3,-16280,-3694,1,0,0,1,4,3
5149039,0,0,1,2,270000,1,4,2,3,-11008,-3697,1,0,0,0,3,4
5021267,0,1,1,1,270000,2,2,2,3,-14512,-4596,1,0,0,0,3,3
5125166,1,0,1,1,234000,2,2,2,3,-11970,-1748,1,0,0,0,3,3
5125524,1,0,0,2,171000,2,2,2,1,-13865,-5674,1,1,1,0,1,4
5010089,0,0,0,0,225000,1,2,2,3,-10304,-1682,1,0,0,0,3,2
5126457,0,0,0,0,94500,2,4,2,3,-16825,-196,1,0,0,0,13,2
5142763,0,0,0,0,117000,1,2,0,-1,-10021,-530,1,0,0,0,4,1
5023261,1,1,1,0,180000,1,2,2,3,-21202,-1696,1,0,0,0,9,2
5090861,0,1,1,0,202500,1,2,2,3,-19765,-2168,1,0,0,0,4,2
